;origin;destination;distance;mode;duration;walktime;transfers;route
209;"{""lat"": 48.819755, ""lon"": 2.335236, ""zipcode"": 75014, ""commune"": ""PARIS 14"", ""departement"": ""PARIS""}";"{""lat"": 48.869342, ""lon"": 2.335608, ""zipcode"": 75002, ""commune"": ""PARIS 02"", ""departement"": ""PARIS""}";5.513890026125841;CAR;2920.6;0.0;0.0;[]
210;"{""lat"": 48.927802, ""lon"": 2.180092, ""zipcode"": 78800, ""commune"": ""HOUILLES"", ""departement"": ""YVELINES""}";"{""lat"": 49.003398, ""lon"": 2.33169, ""zipcode"": 95350, ""commune"": ""PISCOP"", ""departement"": ""VAL-D'OISE""}";13.897209283966667;WALK,TRANSIT;6181.0;2042.0;3.0;"[{""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""H"", ""agencyName"": ""TRAIN""}, {""mode"": ""BUS"", ""route"": ""15"", ""agencyName"": ""Valmy""}]"
211;"{""lat"": 48.927802, ""lon"": 2.180092, ""zipcode"": 78800, ""commune"": ""HOUILLES"", ""departement"": ""YVELINES""}";"{""lat"": 49.003398, ""lon"": 2.33169, ""zipcode"": 95350, ""commune"": ""PISCOP"", ""departement"": ""VAL-D'OISE""}";13.897209283966667;CAR;4124.2;0.0;0.0;[]
212;"{""lat"": 48.933774, ""lon"": 2.282631, ""zipcode"": 92230, ""commune"": ""GENNEVILLIERS"", ""departement"": ""HAUTS-DE-SEINE""}";"{""lat"": 48.966746, ""lon"": 2.391401, ""zipcode"": 95140, ""commune"": ""GARGES LES GONESSE"", ""departement"": ""VAL-D'OISE""}";8.748085339894804;WALK,TRANSIT;3082.0;986.0;3.0;"[{""mode"": ""TRAM"", ""route"": ""GARE DE NOISY LE SEC - Asnieres Gennevilliers Les Courtilles"", ""agencyName"": ""TRAMWAY""}, {""mode"": ""RAIL"", ""route"": ""C"", ""agencyName"": ""RER""}, {""mode"": ""TRAM"", ""route"": ""GARE D\\'EPINAY SUR SEINE - Gare du Bourget"", ""agencyName"": ""TRAIN""}, {""mode"": ""BUS"", ""route"": ""270"", ""agencyName"": ""RATP""}]"
213;"{""lat"": 48.933774, ""lon"": 2.282631, ""zipcode"": 92230, ""commune"": ""GENNEVILLIERS"", ""departement"": ""HAUTS-DE-SEINE""}";"{""lat"": 48.966746, ""lon"": 2.391401, ""zipcode"": 95140, ""commune"": ""GARGES LES GONESSE"", ""departement"": ""VAL-D'OISE""}";8.748085339894804;CAR;2271.2;0.0;0.0;[]
214;"{""lat"": 48.763478, ""lon"": 2.488921, ""zipcode"": 94380, ""commune"": ""BONNEUIL SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.984765, ""lon"": 2.344157, ""zipcode"": 95410, ""commune"": ""GROSLAY"", ""departement"": ""VAL-D'OISE""}";26.78701584949514;WALK,TRANSIT;4745.0;1391.0;2.0;"[{""mode"": ""BUS"", ""route"": ""393"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""H"", ""agencyName"": ""TRAIN""}]"
215;"{""lat"": 48.763478, ""lon"": 2.488921, ""zipcode"": 94380, ""commune"": ""BONNEUIL SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.984765, ""lon"": 2.344157, ""zipcode"": 95410, ""commune"": ""GROSLAY"", ""departement"": ""VAL-D'OISE""}";26.78701584949514;CAR;5412.8;0.0;0.0;[]
216;"{""lat"": 48.94579, ""lon"": 2.082297, ""zipcode"": 78100, ""commune"": ""ST GERMAIN EN LAYE"", ""departement"": ""YVELINES""}";"{""lat"": 49.008313, ""lon"": 2.071236, ""zipcode"": 95000, ""commune"": ""CERGY"", ""departement"": ""VAL-D'OISE""}";6.998952890528817;WALK,TRANSIT;2864.0;1784.0;0.0;"[{""mode"": ""BUS"", ""route"": ""04"", ""agencyName"": ""Transdev Ile-de-France Conflans""}]"
217;"{""lat"": 48.94579, ""lon"": 2.082297, ""zipcode"": 78100, ""commune"": ""ST GERMAIN EN LAYE"", ""departement"": ""YVELINES""}";"{""lat"": 49.008313, ""lon"": 2.071236, ""zipcode"": 95000, ""commune"": ""CERGY"", ""departement"": ""VAL-D'OISE""}";6.998952890528817;CAR;2147.1;0.0;0.0;[]
218;"{""lat"": 48.948331, ""lon"": 2.341738, ""zipcode"": 93800, ""commune"": ""EPINAY SUR SEINE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.720607, ""lon"": 2.075767, ""zipcode"": 78114, ""commune"": ""MAGNY LES HAMEAUX"", ""departement"": ""YVELINES""}";31.939888665156143;WALK,TRANSIT;5935.0;976.0;3.0;"[{""mode"": ""TRAM"", ""route"": ""ST DENIS / PORTE DE PARIS - EPINAY - ORGEMONT"", ""agencyName"": ""TRAMWAY""}, {""mode"": ""RAIL"", ""route"": ""H"", ""agencyName"": ""TRAIN""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""464"", ""agencyName"": ""SQYBUS""}]"
