;origin;destination;distance;mode;duration;walktime;transfers;route
468;"{""lat"": 48.802213, ""lon"": 2.339797, ""zipcode"": 94110, ""commune"": ""ARCUEIL"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.940907, ""lon"": 2.58382, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";23.587507231039705;WALK,TRANSIT;4465.0;1945.0;0.0;"[{""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}]"
469;"{""lat"": 48.802213, ""lon"": 2.339797, ""zipcode"": 94110, ""commune"": ""ARCUEIL"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.940907, ""lon"": 2.58382, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";23.587507231039705;CAR;4326.5;0.0;0.0;[]
470;"{""lat"": 48.849403, ""lon"": 2.292887, ""zipcode"": 75015, ""commune"": ""PARIS 15"", ""departement"": ""PARIS""}";"{""lat"": 48.798518, ""lon"": 2.31127, ""zipcode"": 92220, ""commune"": ""BAGNEUX"", ""departement"": ""HAUTS-DE-SEINE""}";5.815997930122063;WALK,TRANSIT;2837.0;1016.0;2.0;"[{""mode"": ""SUBWAY"", ""route"": ""6"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""4"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""128"", ""agencyName"": ""RATP""}]"
471;"{""lat"": 48.849403, ""lon"": 2.292887, ""zipcode"": 75015, ""commune"": ""PARIS 15"", ""departement"": ""PARIS""}";"{""lat"": 48.798518, ""lon"": 2.31127, ""zipcode"": 92220, ""commune"": ""BAGNEUX"", ""departement"": ""HAUTS-DE-SEINE""}";5.815997930122063;CAR;2667.2999999999997;0.0;0.0;[]
472;"{""lat"": 48.842143, ""lon"": 2.402143, ""zipcode"": 75012, ""commune"": ""PARIS 12"", ""departement"": ""PARIS""}";"{""lat"": 48.737942, ""lon"": 2.366526, ""zipcode"": 91550, ""commune"": ""PARAY VIEILLE POSTE"", ""departement"": ""ESSONE""}";11.876775470940451;WALK,TRANSIT;3789.0;844.0;2.0;"[{""mode"": ""SUBWAY"", ""route"": ""6"", ""agencyName"": ""METRO""}, {""mode"": ""BUS"", ""route"": ""216"", ""agencyName"": ""RATP""}, {""mode"": ""TRAM"", ""route"": ""Porte de L'Essonne - Villejuif-Louis Aragon"", ""agencyName"": ""TRAMWAY""}]"
473;"{""lat"": 48.842143, ""lon"": 2.402143, ""zipcode"": 75012, ""commune"": ""PARIS 12"", ""departement"": ""PARIS""}";"{""lat"": 48.737942, ""lon"": 2.366526, ""zipcode"": 91550, ""commune"": ""PARAY VIEILLE POSTE"", ""departement"": ""ESSONE""}";11.876775470940451;CAR;2363.0;0.0;0.0;[]
474;"{""lat"": 48.844783, ""lon"": 2.504413, ""zipcode"": 94170, ""commune"": ""LE PERREUX SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.902604, ""lon"": 2.579427, ""zipcode"": 93370, ""commune"": ""MONTFERMEIL"", ""departement"": ""SEINE-SAINT-DENIS""}";8.451936698999894;WALK,TRANSIT;3741.0;1221.0;1.0;"[{""mode"": ""BUS"", ""route"": ""113"", ""agencyName"": ""RATP""}, {""mode"": ""BUS"", ""route"": ""613"", ""agencyName"": ""Seine-Saint-Denis""}]"
475;"{""lat"": 48.844783, ""lon"": 2.504413, ""zipcode"": 94170, ""commune"": ""LE PERREUX SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.902604, ""lon"": 2.579427, ""zipcode"": 93370, ""commune"": ""MONTFERMEIL"", ""departement"": ""SEINE-SAINT-DENIS""}";8.451936698999894;CAR;3292.9;0.0;0.0;[]
476;"{""lat"": 48.884726, ""lon"": 2.346805, ""zipcode"": 75018, ""commune"": ""PARIS 18"", ""departement"": ""PARIS""}";"{""lat"": 48.957306, ""lon"": 2.543769, ""zipcode"": 93420, ""commune"": ""VILLEPINTE"", ""departement"": ""SEINE-SAINT-DENIS""}";16.49984969241163;WALK,TRANSIT;3560.0;1501.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""607"", ""agencyName"": ""Seine-Saint-Denis""}]"
477;"{""lat"": 48.884726, ""lon"": 2.346805, ""zipcode"": 75018, ""commune"": ""PARIS 18"", ""departement"": ""PARIS""}";"{""lat"": 48.957306, ""lon"": 2.543769, ""zipcode"": 93420, ""commune"": ""VILLEPINTE"", ""departement"": ""SEINE-SAINT-DENIS""}";16.49984969241163;CAR;2582.2999999999997;0.0;0.0;[]
478;"{""lat"": 48.840241, ""lon"": 2.330407, ""zipcode"": 75014, ""commune"": ""PARIS 14"", ""departement"": ""PARIS""}";"{""lat"": 48.750189, ""lon"": 2.446915, ""zipcode"": 94190, ""commune"": ""VILLENEUVE ST GEORGES"", ""departement"": ""VAL-DE-MARNE""}";13.156716345928318;WALK,TRANSIT;3207.0;439.0;2.0;"[{""mode"": ""SUBWAY"", ""route"": ""4"", ""agencyName"": ""METRO""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""J2"", ""agencyName"": ""STRAV""}]"
479;"{""lat"": 48.840241, ""lon"": 2.330407, ""zipcode"": 75014, ""commune"": ""PARIS 14"", ""departement"": ""PARIS""}";"{""lat"": 48.750189, ""lon"": 2.446915, ""zipcode"": 94190, ""commune"": ""VILLENEUVE ST GEORGES"", ""departement"": ""VAL-DE-MARNE""}";13.156716345928318;CAR;3683.9;0.0;0.0;[]
480;"{""lat"": 48.767533, ""lon"": 2.097127, ""zipcode"": 78280, ""commune"": ""GUYANCOURT"", ""departement"": ""YVELINES""}";"{""lat"": 48.82202, ""lon"": 2.157792, ""zipcode"": 92430, ""commune"": ""MARNES LA COQUETTE"", ""departement"": ""HAUTS-DE-SEINE""}";7.513616865345635;WALK,TRANSIT;6824.0;606.0;3.0;"[{""mode"": ""BUS"", ""route"": ""Express 307 V\u00e9lizy - Montigny-le-Bretonneux"", ""agencyName"": ""SAVAC""}, {""mode"": ""BUS"", ""route"": ""Express 307 V\u00e9lizy - Montigny-le-Bretonneux"", ""agencyName"": ""SAVAC""}, {""mode"": ""TRAM"", ""route"": ""Ch\u00e2tillon Montrouge - Gare de Viroflay Rive Droite"", ""agencyName"": ""TRAMWAY""}, {""mode"": ""BUS"", ""route"": ""7"", ""agencyName"": ""Ph\u00e9bus""}]"
481;"{""lat"": 48.810116, ""lon"": 2.547933, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.86878, ""lon"": 2.316573, ""zipcode"": 75008, ""commune"": ""PARIS 08"", ""departement"": ""PARIS""}";18.14521381789608;WALK,TRANSIT;4506.0;846.0;2.0;"[{""mode"": ""BUS"", ""route"": ""208A"", ""agencyName"": ""RATP""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""1"", ""agencyName"": ""METRO""}]"
482;"{""lat"": 48.810116, ""lon"": 2.547933, ""zipcode"": 94500, ""commune"": ""CHAMPIGNY SUR MARNE"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.86878, ""lon"": 2.316573, ""zipcode"": 75008, ""commune"": ""PARIS 08"", ""departement"": ""PARIS""}";18.14521381789608;CAR;5021.8;0.0;0.0;[]
483;"{""lat"": 48.788649, ""lon"": 2.465901, ""zipcode"": 94000, ""commune"": ""CRETEIL"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.759815, ""lon"": 2.257566, ""zipcode"": 91370, ""commune"": ""VERRIERES LE BUISSON"", ""departement"": ""ESSONE""}";15.599930336218225;WALK,TRANSIT;5550.0;2068.0;1.0;"[{""mode"": ""BUS"", ""route"": ""TVM"", ""agencyName"": ""RATP""}, {""mode"": ""BUS"", ""route"": ""12"", ""agencyName"": ""Le Paladin""}]"
484;"{""lat"": 48.788649, ""lon"": 2.465901, ""zipcode"": 94000, ""commune"": ""CRETEIL"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.759815, ""lon"": 2.257566, ""zipcode"": 91370, ""commune"": ""VERRIERES LE BUISSON"", ""departement"": ""ESSONE""}";15.599930336218225;CAR;2891.7;0.0;0.0;[]
485;"{""lat"": 49.022511, ""lon"": 2.414338, ""zipcode"": 95720, ""commune"": ""LE PLESSIS GASSOT"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.818278, ""lon"": 2.21464, ""zipcode"": 92310, ""commune"": ""SEVRES"", ""departement"": ""HAUTS-DE-SEINE""}";26.99323670359704;WALK,TRANSIT;6670.0;2338.0;3.0;"[{""mode"": ""BUS"", ""route"": ""24"", ""agencyName"": ""Trans Val d'Oise""}, {""mode"": ""RAIL"", ""route"": ""D"", ""agencyName"": ""RER""}, {""mode"": ""SUBWAY"", ""route"": ""4"", ""agencyName"": ""METRO""}, {""mode"": ""RAIL"", ""route"": ""N"", ""agencyName"": ""TRAIN""}]"
486;"{""lat"": 49.022511, ""lon"": 2.414338, ""zipcode"": 95720, ""commune"": ""LE PLESSIS GASSOT"", ""departement"": ""VAL-D'OISE""}";"{""lat"": 48.818278, ""lon"": 2.21464, ""zipcode"": 92310, ""commune"": ""SEVRES"", ""departement"": ""HAUTS-DE-SEINE""}";26.99323670359704;CAR;5664.4;0.0;0.0;[]
487;"{""lat"": 48.865885, ""lon"": 2.575926, ""zipcode"": 77500, ""commune"": ""CHELLES"", ""departement"": ""SEINE-ET-MARNE""}";"{""lat"": 48.877471, ""lon"": 2.27586, ""zipcode"": 75116, ""commune"": ""PARIS 16"", ""departement"": ""PARIS""}";21.984054503452004;WALK,TRANSIT;4376.0;1866.0;3.0;"[{""mode"": ""RAIL"", ""route"": ""P"", ""agencyName"": ""TRAIN""}, {""mode"": ""SUBWAY"", ""route"": ""7"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""9"", ""agencyName"": ""METRO""}, {""mode"": ""SUBWAY"", ""route"": ""1"", ""agencyName"": ""METRO""}]"
488;"{""lat"": 48.865885, ""lon"": 2.575926, ""zipcode"": 77500, ""commune"": ""CHELLES"", ""departement"": ""SEINE-ET-MARNE""}";"{""lat"": 48.877471, ""lon"": 2.27586, ""zipcode"": 75116, ""commune"": ""PARIS 16"", ""departement"": ""PARIS""}";21.984054503452004;CAR;4744.7;0.0;0.0;[]
489;"{""lat"": 48.795516, ""lon"": 2.517303, ""zipcode"": 94210, ""commune"": ""ST MAUR DES FOSSES"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.98571, ""lon"": 2.55541, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";21.33132676408293;WALK,TRANSIT;6174.0;1335.0;2.0;"[{""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""BUS"", ""route"": ""619"", ""agencyName"": ""Seine-Saint-Denis""}]"
490;"{""lat"": 48.795516, ""lon"": 2.517303, ""zipcode"": 94210, ""commune"": ""ST MAUR DES FOSSES"", ""departement"": ""VAL-DE-MARNE""}";"{""lat"": 48.98571, ""lon"": 2.55541, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";21.33132676408293;CAR;4454.0;0.0;0.0;[]
491;"{""lat"": 48.977778, ""lon"": 2.527879, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.805977, ""lon"": 2.490279, ""zipcode"": 94100, ""commune"": ""ST MAUR DES FOSSES"", ""departement"": ""VAL-DE-MARNE""}";19.300161194275336;WALK,TRANSIT;5054.0;1634.0;1.0;"[{""mode"": ""RAIL"", ""route"": ""B"", ""agencyName"": ""RER""}, {""mode"": ""RAIL"", ""route"": ""A"", ""agencyName"": ""RER""}]"
492;"{""lat"": 48.977778, ""lon"": 2.527879, ""zipcode"": 93290, ""commune"": ""TREMBLAY EN FRANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.805977, ""lon"": 2.490279, ""zipcode"": 94100, ""commune"": ""ST MAUR DES FOSSES"", ""departement"": ""VAL-DE-MARNE""}";19.300161194275336;CAR;3816.5;0.0;0.0;[]
493;"{""lat"": 48.873614, ""lon"": 2.510484, ""zipcode"": 93360, ""commune"": ""NEUILLY PLAISANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.809395, ""lon"": 2.487547, ""zipcode"": 94100, ""commune"": ""ST MAUR DES FOSSES"", ""departement"": ""VAL-DE-MARNE""}";7.335465063541003;WALK,TRANSIT;3295.0;743.0;1.0;"[{""mode"": ""BUS"", ""route"": ""114"", ""agencyName"": ""RATP""}, {""mode"": ""BUS"", ""route"": ""317"", ""agencyName"": ""RATP""}]"
494;"{""lat"": 48.873614, ""lon"": 2.510484, ""zipcode"": 93360, ""commune"": ""NEUILLY PLAISANCE"", ""departement"": ""SEINE-SAINT-DENIS""}";"{""lat"": 48.809395, ""lon"": 2.487547, ""zipcode"": 94100, ""commune"": ""ST MAUR DES FOSSES"", ""departement"": ""VAL-DE-MARNE""}";7.335465063541003;CAR;2890.0;0.0;0.0;[]
